Date,Open,High,Low,Close
17-01-2005,"2,696.25","2,733.20","2,639.00","2,712.30"
18-01-2005,"2,723.25","2,759.20","2,703.00","2,721.95"
19-01-2005,"2,717.00","2,751.65","2,711.10","2,719.20"
20-01-2005,"2,717.10","2,717.10","2,667.05","2,702.40"
24-01-2005,"2,701.75","2,702.40","2,627.00","2,640.40"
25-01-2005,"2,632.80","2,668.90","2,583.25","2,663.55"
27-01-2005,"2,697.60","2,729.95","2,682.15","2,720.50"
28-01-2005,"2,729.25","2,812.10","2,717.10","2,806.25"
31-01-2005,"2,807.95","2,869.55","2,804.55","2,849.40"
01-02-2005,"2,852.70","2,874.75","2,825.15","2,834.25"
02-02-2005,"2,842.20","2,875.50","2,819.70","2,827.25"
03-02-2005,"2,829.65","2,873.70","2,825.80","2,862.25"
04-02-2005,"2,912.35","2,912.35","2,849.90","2,870.30"
07-02-2005,"2,877.50","2,889.95","2,807.35","2,816.00"
08-02-2005,"2,825.85","2,835.30","2,805.15","2,827.30"
09-02-2005,"2,828.15","2,852.25","2,828.15","2,836.25"
10-02-2005,"2,836.30","2,836.30","2,807.25","2,819.90"
11-02-2005,"2,842.35","2,875.10","2,833.10","2,871.75"
14-02-2005,"2,897.90","2,957.55","2,897.90","2,944.15"
15-02-2005,"2,943.20","2,943.20","2,905.90","2,930.50"
16-02-2005,"2,931.60","2,958.25","2,907.85","2,924.40"
17-02-2005,"2,923.40","2,923.40","2,873.55","2,907.30"
18-02-2005,"2,904.30","2,913.85","2,881.90","2,890.30"
21-02-2005,"2,891.90","2,891.90","2,844.90","2,856.75"
22-02-2005,"2,867.40","2,881.00","2,838.55","2,874.15"
23-02-2005,"2,872.35","2,872.35","2,843.45","2,849.95"
24-02-2005,"2,855.30","2,876.25","2,848.15","2,854.70"
25-02-2005,"2,851.60","2,882.95","2,837.20","2,854.70"
28-02-2005,"2,856.60","2,925.25","2,822.00","2,919.05"
01-03-2005,"2,918.35","2,918.35","2,842.55","2,848.20"
02-03-2005,"2,849.80","2,875.15","2,831.65","2,855.75"
03-03-2005,"2,856.05","2,917.95","2,855.35","2,907.15"
04-03-2005,"2,911.85","2,952.15","2,911.85","2,942.55"
07-03-2005,"2,947.25","2,964.30","2,935.75","2,958.55"
08-03-2005,"2,959.70","2,998.00","2,946.75","2,974.35"
09-03-2005,"2,969.25","2,995.10","2,934.05","2,962.40"
10-03-2005,"2,963.15","2,965.25","2,920.65","2,946.10"
11-03-2005,"2,946.80","2,973.40","2,938.95","2,945.85"
14-03-2005,"2,940.45","2,985.05","2,923.35","2,962.55"
15-03-2005,"2,963.35","2,968.50","2,931.80","2,939.75"
16-03-2005,"2,939.70","2,964.65","2,930.85","2,937.20"
17-03-2005,"2,937.10","2,961.95","2,920.50","2,929.95"
